#OTU ID	Pres2_ANTI_S1_A_POST_S24	Pres2_ANTI_S1_A_PRE_S23	Pres2_ANTI_S1_B_POST_S7	Pres2_ANTI_S1_B_PRE_S1	Pres2_ANTI_S1_C_POST_S8	Pres2_ANTI_S1_C_PRE_S2	Pres2_ANTI_S2_A_POST_S26	Pres2_ANTI_S2_A_PRE_S25	Pres2_ANTI_S2_B_POST_S9	Pres2_ANTI_S2_B_PRE_S3	Pres2_ANTI_S2_C_POST_S10	Pres2_ANTI_S2_C_PRE_S4	Pres2_ANTI_S3_A_POST_S28	Pres2_ANTI_S3_A_PRE_S27	Pres2_ANTI_S3_B_POST_S11	Pres2_ANTI_S3_B_PRE_S5	Pres2_ANTI_S3_C_POST_S12	Pres2_ANTI_S3_C_PRE_S6	Pres2_ANTInc____S45	Pres2_ETOH_S1_A_POST_S13	Pres2_ETOH_S1_A_PRE_S29	Pres2_ETOH_S1_B_POST_S14	Pres2_ETOH_S1_C_POST_S15	Pres2_ETOH_S2_A_POST_S31	Pres2_ETOH_S2_A_PRE_S30	Pres2_ETOH_S2_B_POST_S16	Pres2_ETOH_S2_C_POST_S17	Pres2_ETOH_S3_A_POST_S33	Pres2_ETOH_S3_A_PRE_S32	Pres2_ETOH_S3_B_POST_S18	Pres2_ETOH_S3_C_POST_S19	Pres2_ETOHnc____S19	Pres2_EXTnc____S20	Pres2_PCRnc____S22	Pres2_SOILEXTnc____S21	Pres2_WATEREXTnc____S20	Pres3_ANTI_S1_A_POST_S30	Pres3_ANTI_S1_A_PRE_S21	Pres3_ANTI_S1_B_POST_S31	Pres3_ANTI_S1_B_PRE_S22	Pres3_ANTI_S1_C_POST_S32	Pres3_ANTI_S1_C_PRE_S23	Pres3_ANTI_S2_A_POST_S33	Pres3_ANTI_S2_A_PRE_S24	Pres3_ANTI_S2_B_POST_S34	Pres3_ANTI_S2_B_PRE_S25	Pres3_ANTI_S2_C_POST_S35	Pres3_ANTI_S2_C_PRE_S26	Pres3_ANTI_S3_A_POST_S36	Pres3_ANTI_S3_A_PRE_S27	Pres3_ANTI_S3_B_POST_S37	Pres3_ANTI_S3_B_PRE_S28	Pres3_ANTI_S3_C_POST_S38	Pres3_ANTI_S3_C_PRE_S29	Pres3_ETOH_S1_A_POST_S39	Pres3_ETOH_S1_B_POST_S40	Pres3_ETOH_S1_C_POST_S41	Pres3_ETOH_S2_A_POST_S42	Pres3_ETOH_S2_B_POST_S43	Pres3_ETOH_S2_C_POST_S44	Pres3_ETOH_S3_A_POST_S45	Pres3_ETOH_S3_B_POST_S46	Pres3_ETOH_S3_C_POST_S47	Pres3_EXTnc____S48	Pres3_PCRnc____S49
Zotu1076	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	1	0	7	3	15	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	57	0	0	0	0	0	0	0	1	0	1670	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	7	2	18	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1082	23	5	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Zotu1083	16	0	13	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1085	0	0	0	0	0	0	33	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1086	0	0	0	0	0	0	0	0	0	0	0	0	14	4	5	1	6	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Zotu1088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	6	2	1	9	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0
Zotu1089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	8	0	7	0	0	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0	0	0	0
Zotu109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	365	64	378	61	252	484	1	0	0	0	0	1	153	33	7	0	0
